"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","1721","1","1","x + 3 = 4","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","yes","2","1","6","1","0","0"
"Randomised","1860","1","4","x = 4","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","yes","1","4","6","2","0","0"
"Randomised","1366","1","3","x = 3","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","yes","1","3","6","3","0","0"
"Randomised","2000","1","3","x + 2 = 5","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","yes","2","3","6","4","0","0"
"Progressive","1632","1","8","x = 8","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","no","1","8","6","5","1","1"
"Progressive","1426","1","7","x = 7","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","1","no","1","7","6","6","2","2"
"Progressive","1532","1","6","x = 6","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","2","no","1","6","6","7","3","3"
"Progressive","1195","1","8","x = 8","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","3","no","1","8","6","8","4","4"
"Progressive","1343","1","4","x = 4","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","4","no","1","4","6","9","5","5"
"Progressive","1298","1","9","x = 9","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","5","no","1","9","6","10","6","6"
"Progressive","1202","1","2","x = 2","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","6","no","1","2","6","11","7","7"
"Progressive","1342","1","3","x = 3","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","7","no","1","3","6","12","8","8"
"Progressive","1383","1","5","x = 5","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","8","no","1","5","6","13","9","9"
"Progressive","1286","1","9","x = 9","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","9","no","1","9","6","14","10","10"
"Progressive","1870","1","2","x + 3 = 5","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","0","no","2","2","6","15","1","1"
"Progressive","2129","1","4","x - 3 = 1","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","1","no","2","4","6","16","2","2"
"Progressive","2619","1","7","x - 6 = 1","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","2","no","2","7","6","17","3","3"
"Progressive","1702","1","2","x - 1 = 1","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","3","no","2","2","6","18","4","4"
"Progressive","1972","1","2","x + 7 = 9","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","4","no","2","2","6","19","5","5"
"Progressive","1642","1","4","x - 2 = 2","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","5","no","2","4","6","20","6","6"
"Progressive","1784","1","4","x + 3 = 7","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","6","no","2","4","6","21","7","7"
"Progressive","1946","1","9","x - 2 = 7","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","7","no","2","9","6","22","8","8"
"Progressive","1288","1","4","x - 2 = 2","Fri Sep 26 13:49:02 2025","algebra_progressive.osexp","correct","0","8","no","2","4","6","23","9","9"
